Date,Open Price,Close Price,Adj Close Price,Volume
20170129,779.53,770.59,777.68,2172419
20170130,776.45,774.29,771.52,5444141
20170131,775.22,770.90,767.20,7857469
20170201,770.90,774.91,769.67,1580923
20170204,779.53,747.79,764.12,1829399
20170205,747.18,750.26,760.73,1422355
20170206,756.11,761.04,766.28,4165137
20170207,755.80,742.86,763.82,1987308
20170208,764.12,761.04,763.51,1368792
20170211,758.89,753.03,765.97,3869754
20170212,755.19,767.20,771.21,4261121
20170213,767.20,753.03,765.36,1572218
20170214,754.88,751.49,761.97,1170353
20170215,757.65,753.34,762.89,3096041
20170218,769.36,777.99,777.68,4989627
20170219,771.21,767.20,775.52,1492771
20170220,790.31,814.04,809.72,35086727
20170307,819.58,812.81,814.65,18663598
20170308,822.67,804.18,827.60,12089158
20170311,807.26,802.95,812.81,12874548
20170312,801.41,812.50,821.43,6265653
20170313,809.11,820.51,832.22,7612336
20170314,834.68,844.23,844.85,6553231
20170315,846.70,828.83,837.76,3110521
20170318,831.91,824.21,824.21,6044358
20170325,807.26,814.96,823.28,615160
20170326,819.58,834.99,823.59,3164581
20170327,831.60,826.67,831.29,4023923
20170328,825.75,819.89,830.37,1664532
20170329,819.89,823.28,828.83,1017963
20170403,834.99,841.15,835.91,3086410
20170404,841.15,844.54,838.07,3750306
20170405,844.23,847.31,847.93,5311291
20170408,856.56,842.69,847.31,3552068
20170409,830.68,831.91,839.92,1765574
20170410,829.14,847.62,848.55,5759869
20170412,853.17,853.48,853.17,4565179
20170415,848.86,855.33,856.25,5456807
20170416,856.25,898.77,895.07,40904944
20170417,915.10,905.86,914.18,20164219
20170418,918.18,908.94,908.94,6205273
20170419,902.78,912.02,908.63,4104951
20170422,914.79,953.31,942.83,19111566
20170423,961.32,954.54,968.10,25001981
20170424,958.24,939.75,946.84,2924768
20170426,948.07,985.35,976.41,14660706
20170429,989.05,1003.84,1014.93,19154898
20170430,1015.24,982.88,999.52,10559591
20170501,985.97,970.56,972.41,4409692
20170502,975.18,979.80,979.80,8758636
20170503,985.97,969.94,977.96,4822196
20170506,970.56,964.40,952.69,11023518
20170507,961.32,961.32,963.47,3703185
20170508,961.32,969.02,973.95,6841143
20170509,961.32,982.88,983.19,11307829
20170510,982.88,976.72,981.65,3473991
20170513,985.04,979.80,982.27,3964988
20170514,967.17,970.56,975.18,6923476
20170515,963.47,975.18,988.43,3776684
20170516,985.97,985.97,991.20,5278156
20170517,1010.92,989.36,998.60,8815660
20170520,1010.62,998.91,1011.54,3133449
20170521,985.97,980.42,995.21,3584482
20170522,982.88,979.19,989.97,1599406
20170523,985.97,980.11,991.20,3074810
20170524,985.97,973.64,978.26,2375721
20170527,981.34,989.05,965.94,4185093
20170528,970.56,961.63,979.50,3832001
20170529,956.70,965.94,982.88,5972752
20170530,985.97,966.55,981.04,3692353
20170531,981.04,963.17,976.41,933396
20170603,962.24,952.69,955.46,2685496
20170606,955.77,945.91,953.31,2001347
20170607,940.37,945.60,957.00,4342737
20170610,970.56,937.59,953.31,1041367
20170611,955.15,942.21,959.16,6078974
20170612,960.39,948.38,947.14,1780432
20170613,945.60,939.13,941.29,1140415
20170614,944.37,936.98,942.21,1009317
20170617,943.14,919.11,932.66,1690868
20170618,933.59,902.78,922.49,1899461
20170619,918.49,897.54,904.62,3446271
20170620,887.37,884.60,900.00,1616940
20170621,900.62,871.96,882.44,2771293
20170624,866.11,867.34,875.35,2164294
20170625,871.96,881.21,880.28,2680168
20170628,878.13,892.61,881.52,756727
20170701,895.07,902.47,885.21,1050089
20170702,899.69,893.53,896.00,2944898
20170703,908.01,892.61,900.31,4632076
20170704,900.62,889.53,897.85,8658326
20170705,898.15,893.53,893.84,12006276
20170708,938.52,938.52,938.52,31736216
20170731,983.83,960.67,973.09,28040436
20170801,960.00,955.97,961.34,8313124
20170802,960.00,940.53,953.96,5112434
20170806,961.34,938.18,948.59,5893440
20170807,952.61,932.81,937.85,2594159
20170808,946.57,926.43,930.46,3598149
20170809,926.43,932.47,933.48,8337902
20170812,933.15,956.64,969.06,20957181
20170813,949.93,940.87,958.32,4726810
20170814,956.64,943.89,951.94,2078018
20170815,939.86,951.61,958.32,3859655
20170816,966.38,951.94,955.97,2338471
20170819,953.29,963.36,978.80,11157472
20170820,981.48,968.05,974.77,5770977
20170821,973.09,963.36,966.38,2884537
20170822,973.43,966.71,969.40,2602569
20170823,979.13,972.42,972.75,5486601
20170826,979.13,956.98,965.03,2878553
20170827,956.98,953.96,958.32,2186124
20170828,958.99,963.36,957.99,2901350
20170829,956.64,958.99,959.33,4181358
